Date,BTC/USD (Exchange rate),ETH/USD (Exchange rate),BTC/USD:USD (Linear),ETH/USD:USD (Linear),BTC/USD:BTC (Inverse),ETH/USD:ETH (Inverse)
2022/04/17 00:00:00,39678.12,2988.06,39649.1,2986.03,39665.7,2986.23
2022/04/18 00:00:00,40801.13,3055.56,40785.6,3054.02,40789.2,3054.88
2022/04/19 00:00:00,41493.18,3101.77,41472.9,3100.42,41482.2,3100.92
2022/04/20 00:00:00,41358.19,3076.04,41327.7,3074.01,41354.5,3075.12
2022/04/21 00:00:00,40480.01,2983.58,40449.8,2981.31,40460.2,2982.37
2022/04/22 00:00:00,39709.18,2962.39,39674.2,2960.38,39687.9,2961.36
2022/04/23 00:00:00,39441.6,2933.03,39415.1,2930.28,39427.2,2931.42
2022/04/24 00:00:00,39450.13,2921.0,39433.4,2918.97,39455.1,2920.48
2022/04/25 00:00:00,40426.08,3006.62,40411.0,3006.11,40421.7,3006.09
2022/04/26 00:00:00,38112.65,2809.67,38093.7,2807.88,38099.1,2808.37
2022/04/27 00:00:00,39235.72,2888.96,39209.0,2887.57,39216.4,2888.05
2022/04/28 00:00:00,39742.07,2936.93,39732.5,2935.39,39738.0,2936.03
2022/04/29 00:00:00,38596.11,2817.13,38572.2,2815.37,38577.2,2815.74
2022/04/30 00:00:00,37630.8,2726.66,37614.5,2725.1,37620.9,2725.81
2022/05/01 00:00:00,38468.35,2824.81,38440.5,2823.38,38459.7,2824.45
2022/05/02 00:00:00,38525.16,2856.54,38525.6,2855.16,38512.4,2854.53
2022/05/03 00:00:00,37728.95,2781.7,37712.9,2780.91,37713.0,2780.06
2022/05/04 00:00:00,39690.0,2940.64,39684.0,2939.76,39696.6,2940.41
2022/05/05 00:00:00,36552.97,2747.97,36534.7,2746.37,36527.5,2745.6
2022/05/06 00:00:00,36013.77,2692.85,35995.3,2691.59,35997.0,2691.55
2022/05/07 00:00:00,35472.39,2635.34,35466.7,2634.82,35439.7,2634.48
2022/05/08 00:00:00,34038.4,2519.71,34032.0,2518.9,34022.9,2518.45
2022/05/09 00:00:00,30076.31,2228.55,30056.6,2227.48,30054.4,2228.54
2022/05/10 00:00:00,31017.1,2342.05,31002.1,2340.86,31001.3,2340.81
2022/05/11 00:00:00,29103.94,2084.99,29074.7,2083.98,28965.6,2077.23
2022/05/12 00:00:00,29029.75,1960.22,29020.7,1959.78,28926.6,1953.96
2022/05/13 00:00:00,29287.05,2009.69,29274.3,2008.49,29221.6,2003.79
2022/05/14 00:00:00,30086.74,2056.48,30079.8,2055.0,30027.4,2052.3
2022/05/15 00:00:00,31328.89,2145.29,31324.4,2144.07,31268.4,2141.63
2022/05/16 00:00:00,29874.01,2023.66,29866.7,2022.89,29821.8,2019.73
2022/05/17 00:00:00,30444.93,2090.72,30437.0,2090.0,30398.6,2088.02
2022/05/18 00:00:00,28715.32,1915.11,28700.6,1914.2,28652.0,1911.71
2022/05/19 00:00:00,30319.23,2019.55,30319.9,2019.46,30283.3,2016.93
2022/05/20 00:00:00,29201.01,1959.08,29188.9,1958.69,29160.0,1956.48
2022/05/21 00:00:00,29445.06,1975.07,29427.4,1973.94,29398.0,1971.71
2022/05/22 00:00:00,30293.94,2043.19,30284.0,2042.63,30251.7,2039.96
2022/05/23 00:00:00,29109.15,1973.32,29097.7,1972.45,29059.6,1969.95
2022/05/24 00:00:00,29654.58,1979.41,29643.1,1978.56,29612.1,1976.57
2022/05/25 00:00:00,29542.15,1942.63,29536.7,1942.0,29496.1,1939.42
2022/05/26 00:00:00,29201.35,1792.23,29194.0,1791.02,29156.1,1788.59
2022/05/27 00:00:00,28629.8,1727.27,28623.2,1726.55,28584.2,1724.36
2022/05/28 00:00:00,29031.33,1792.22,29018.8,1791.74,28992.4,1789.51
2022/05/29 00:00:00,29468.1,1813.64,29452.8,1812.45,29429.8,1810.46
